event_id,event_date,supplier_id,supplier_name,category_id,category_name,signal_type,signal_text,severity,confidence,source_type,source_url,source_title,llm_reason,supplier_summary,recommended_action,severity_score,confidence_score,base_risk_score,risk_bucket
EVT-64DD5A2BA4,2026-03-18,SUP021,ASE Technology,CAT005,Chip Modules,supply_capacity,ASE announced a NT$17.8 billion groundbreaking for a new high-tech facility in Kaohsiung in March 2026 to meet AI chip demand.,Low,High,seed_page,https://www.aseglobal.com,Home | ASE Holdings,"ASE is breaking ground on a new NT$17.8 billion facility in Kaohsiung to meet AI chip demand, signaling positive capacity growth relevant to chip module supply.","ASE Technology presents a generally stable risk posture with active capacity expansion for AI chip demand and strong ESG credentials, though its significant manufacturing footprint in China and Taiwan introduces geopolitical concentration risk.","Monitor construction progress and confirm delivery timelines align with your chip module demand forecasts, particularly for AI-related SKUs.",1,3,3,supply_risk
EVT-78C7F79D8B,2026-03-18,SUP021,ASE Technology,CAT005,Chip Modules,supply_capacity,"ASE operates numerous plants across China (Shanghai, Wuxi, Suzhou, Kunshan, Huizhou) alongside facilities in Taiwan, Malaysia, Vietnam, and other regions.",Medium,High,discovered_link,https://www.aseglobal.com/plants-offices,Plants & Offices | ASE Holdings,"ASE's extensive manufacturing footprint includes multiple facilities in China (Shanghai, Wuxi, Suzhou, Kunshan, Huizhou), creating geopolitical and trade-restriction concentration risk for chip module supply.","ASE Technology presents a generally stable risk posture with active capacity expansion for AI chip demand and strong ESG credentials, though its significant manufacturing footprint in China and Taiwan introduces geopolitical concentration risk.","Assess the share of chip module production sourced from China-based ASE facilities and evaluate contingency sourcing from Taiwan, Malaysia, or Vietnam plants.",2,3,6,supply_risk
EVT-743B676472,2026-03-18,SUP021,ASE Technology,CAT005,Chip Modules,supply_capacity,ASE's press room shows multiple 2025–2026 capacity expansions including advanced packaging facilities and a Vietnam optical transceiver plant expansion.,Low,High,discovered_link,https://www.aseglobal.com/press-room,Press Room | ASE Holdings,"Multiple capacity expansion announcements (K18B groundbreaking, new chip packaging/testing facility, Vietnam plant expansion) indicate ASE is actively scaling to meet next-gen demand, which is positive for chip module availability.","ASE Technology presents a generally stable risk posture with active capacity expansion for AI chip demand and strong ESG credentials, though its significant manufacturing footprint in China and Taiwan introduces geopolitical concentration risk.",Engage ASE account team to understand how new capacity allocations will benefit your chip module orders and secure priority allocation agreements.,1,3,3,supply_risk
EVT-E532E54A86,2026-03-18,SUP021,ASE Technology,CAT005,Chip Modules,esg_compliance,"ASE reports 100% DRC conflict-free products, SBTi-validated 2030/2050 emissions targets, and 19.2% renewable energy consumption as of 2024.",Low,High,discovered_link,https://www.aseglobal.com/csr,ESG | ASE Holdings,"ASE demonstrates strong ESG performance with SBTi-validated emissions targets, 100% DRC conflict-free products, and IFRS sustainability disclosure adoption, reducing compliance risk for chip module procurement.","ASE Technology presents a generally stable risk posture with active capacity expansion for AI chip demand and strong ESG credentials, though its significant manufacturing footprint in China and Taiwan introduces geopolitical concentration risk.",Leverage ASE's ESG documentation to satisfy internal supplier sustainability audits and conflict minerals reporting requirements.,1,3,3,esg_risk
EVT-E96BDC1020,2026-03-18,SUP016,ATI,CAT004,Titanium,supply_capacity,"ATI brought online a new titanium alloy sheet facility in South Carolina, introduced a new 12,500-ton billet press, and extended/expanded titanium supply agreements with both Boeing and Airbus.",Low,High,seed_page,https://www.atimaterials.com,ATI: Proven to perform.,"ATI has expanded titanium production capacity (new Pageland, SC facility, 12,500-ton billet press) and secured long-term agreements with Boeing and Airbus, reducing supply disruption risk for titanium buyers.","ATI presents a low-to-moderate risk profile as a titanium supplier, demonstrating strong financial performance, capacity expansion, and secured long-term agreements with Boeing and Airbus, offset by a CFO transition and ongoing aerospace demand pressures.",Leverage ATI's expanded capacity and long-term agreements to negotiate favorable pricing and volume commitments; monitor delivery performance as aerospace ramp-up increases demand.,1,3,3,supply_risk
EVT-E96BDC1020,2026-03-18,SUP016,ATI,CAT004,Titanium,financial,"ATI reported Q1–Q4 2025 sales ranging from $1.13B to $1.2B with net income of $97M–$119M per quarter, while CFO Don Newman announced retirement and Rob Foster named as successor.",Low,High,seed_page,https://www.atimaterials.com,ATI: Proven to perform.,"ATI reported consistent quarterly revenues around $1.1–1.2 billion with positive net income throughout 2025, indicating financial stability, though a CFO transition introduces minor leadership continuity risk.","ATI presents a low-to-moderate risk profile as a titanium supplier, demonstrating strong financial performance, capacity expansion, and secured long-term agreements with Boeing and Airbus, offset by a CFO transition and ongoing aerospace demand pressures.","Monitor ATI's financial disclosures following the CFO transition effective January 1, 2026, to ensure no change in capital allocation or credit posture affecting supply commitments.",1,3,3,financial_risk
EVT-E96BDC1020,2026-03-18,SUP016,ATI,CAT004,Titanium,general_news,"ATI employees ratified a new six-year labor agreement with the United Steelworkers (USW), providing labor stability across its manufacturing facilities.",Low,High,seed_page,https://www.atimaterials.com,ATI: Proven to perform.,"A ratified six-year labor agreement with the United Steelworkers eliminates near-term strike or labor disruption risk, which is material for a titanium supplier with unionized manufacturing operations.","ATI presents a low-to-moderate risk profile as a titanium supplier, demonstrating strong financial performance, capacity expansion, and secured long-term agreements with Boeing and Airbus, offset by a CFO transition and ongoing aerospace demand pressures.",No immediate action required; note the six-year labor stability window as a positive factor in supplier risk assessments through approximately 2031.,1,3,3,other_risk
EVT-BD554FDB98,2026-03-18,SUP022,Amkor Technology,CAT005,Chip Modules,supply_capacity,"Amkor broke ground on a landmark US semiconductor packaging facility in October 2025, aimed at enabling a resilient domestic supply chain.",Low,High,discovered_link,https://amkor.com/category/company-news/,Company News Archives - Amkor Technology,"Amkor's groundbreaking of a new US semiconductor packaging facility signals capacity expansion and improved domestic supply chain resilience, which is a positive development for Chip Modules sourcing.","Amkor Technology appears operationally stable with positive signals including new US packaging facility groundbreaking, ESG recognition, and customer awards, presenting low near-term supply risk for Chip Modules.",Monitor facility ramp-up timeline and assess opportunity to qualify Amkor's US facility as a preferred or secondary source to reduce geopolitical concentration risk.,1,3,3,supply_risk
EVT-8479565CAC,2026-03-18,SUP022,Amkor Technology,CAT005,Chip Modules,general_news,"Amkor is actively launching new advanced packaging technologies including fcMLF, S-Connect bridge die interposer, and S-SWIFT chiplet integration solutions.",Low,High,seed_page,https://www.amkor.com,Semiconductor Packaging & Test Services | Amkor Technology,"New technology introductions (fcMLF, S-Connect, S-SWIFT) indicate continued R&D investment and product roadmap health, relevant for long-term Chip Modules supply continuity.","Amkor Technology appears operationally stable with positive signals including new US packaging facility groundbreaking, ESG recognition, and customer awards, presenting low near-term supply risk for Chip Modules.",Engage Amkor's technical team to evaluate new packaging technologies for potential integration into future Chip Module designs.,1,3,3,other_risk
EVT-BC26E40D7B,2026-03-18,SUP026,CATL,CAT006,Battery Materials,supply_capacity,"CATL reported 2025 revenue of RMB 423.7 billion (+17% YoY), net profit of RMB 72.2 billion (+42% YoY), and global EV battery market share of 39.2% for the ninth consecutive year.",Low,High,discovered_link,https://www.catl.com/news/9654.html,é¶ç¢³ç§æèå¿ï¼âå ¨åå¢éâé¢èªï¼å®å¾·æ¶ä»£åå¸2025å¹´å¹´åº¦æ¥å,"CATL's 2025 annual report shows 39% YoY growth in battery shipments to 661GWh and 772GWh global production capacity, indicating strong and expanding supply capacity relevant to battery materials procurement.","CATL demonstrates strong financial performance and expanding global partnerships in battery materials, with robust ESG commitments and growing supply capacity, presenting low immediate risk but warranting monitoring for geopolitical and supply chain concentration exposure.",Leverage CATL's capacity expansion in contract negotiations and assess dependency concentration given their 39.2% global market share.,1,3,3,supply_risk
